itemid,title,image_path,Colour_group,Brand,Benefits,Product_texture,Skin_type,lang,numbers,nouns,ocr_result
138683846,etude house precious mineral bb cream blooming fit,beauty_image/0b9e00807eee4bbc60522350155374e0.jpg,4.0,73.0,24.0,8.0,,en,unk,etude house,
139541859,missha m perfect cover bb cream 20 ml,beauty_image/0d2bd36ded06b23a4ba9f2f0d318327d.jpg,,91.0,,8.0,7.0,en,20.0/cubic centimetre,missha m perfect cover bb cream,
139621638,cream pagi oily acne,beauty_image/1991bed4d1e128c75fb21ff3589edf6a.jpg,,,,8.0,5.0,en,unk,cream pagi,
145825084,bourjois 123 perfect cc cream,beauty_image/9d49f24cafd7e2df578d70b75ff46d94.jpg,6.0,94.0,,8.0,,en,123.0/dimensionless,unk,
148091734,wardah paket c defense dd cream,beauty_image/097779099031cde79d1075dcab4be360.jpg,,77.0,,8.0,3.0,en,unk,unk,
148145400,wardah paket white secret cream tube serum,beauty_image/84f93c763bf29fdf70b2501967302bc3.jpg,,77.0,22.0,8.0,,en,unk,wardah paket,
155879349,the balm manizer sister,beauty_image/3e21b1c7e60fe22059420c88375fe4b5.jpg,,127.0,20.0,0.0,,en,unk,unk,
156057278,bedak revlon 2in1,beauty_image/0a881d8dab407b49b36817e7a0e984e6.jpg,4.0,47.0,,6.0,,tr,2.0/inch,bedak revlon,beckkrevion 2 in 1
162016470,acnes uv tint spf 35 pa,beauty_image/02186970c33bcced08fcd8c588cfa084.jpg,6.0,133.0,,6.0,,fr,35.0/pascal,unk,jelitalelita com cosmetics store
170519348,channel set make up chanel gift box,beauty_image/d33a05dffc78dbe20d8ae5ede72f8fd5.jpg,,212.0,9.0,6.0,,en,unk,channel set,chanel
171690371,bbsc cc cream spf 50+vit c kemasan reguler,beauty_image/0dae3573fc031d7ff71c7985739fdbd5.jpg,6.0,,22.0,8.0,1.0,ro,50.0/dimensionless,bbsc cc cream,
174212637,etude moistfull collagen cream sample sachet,beauty_image/eec1fe21972b44f180fa5b6f202d1e9b.jpg,,73.0,,8.0,,fr,unk,unk,ume i 9 h u ars 14 wereh s 44 ae 3 bodycaregrosir
178295864,rekomendasi hidrogel hydrogel warna campur mix rainbow pelangi tanaman import top di jamin puas,beauty_image/b0e482110a8e92c79e0227bf430e1fce.jpg,,365.0,9.0,,,id,unk,rekomendasi hidrogel hydrogel campur mix rainbow pelangi,
